citing_id,cited_id
496,401
646,402
791,402
1039,402
404,402
497,402
702,402
459,402
462,402
948,402
554,402
463,402
5963,402
802,402
468,402
1000,402
909,402
519,402
912,402
477,402
670,402
864,402
1118,402
1062,402
673,402
722,402
1019,402
583,402
584,402
47,402
877,402
980,402
5355,402
543,402
646,403
742,403
1086,403
791,403
400,403
649,403
748,403
652,403
21,403
1275,403
655,403
404,403
453,403
944,403
798,403
468,403
956,403
958,403
774,403
435,403
877,403
838,405
601,405
941,405
509,405
610,405
809,405
423,405
424,405
425,405
768,405
525,405
1122,405
535,405
15,406
2480,406
118,406
454,406
1090,406
3360,406
1052,406
1041,407
640,407
401,408
404,408
410,408
549,408
415,408
953,408
1002,408
515,408
400,409
657,409
468,409
907,409
958,409
769,409
965,409
401,410
415,410
5949,411
448,411
365,411
417,411
1506,411
592,411
944,412
1099,412
82,412
442,412
1026,412
1275,413
417,413
568,413
47,413
1076,413
400,414
987,417
320,417
992,417
1092,417
568,417
871,417
1451,417
1025,417
900,418
846,418
707,418
951,418
320,419
499,419
500,419
474,419
425,419
525,419
429,419
1122,419
791,420
677,420
598,421
400,421
404,421
500,421
605,421
803,421
423,421
916,421
525,421
966,421
920,421
824,421
828,421
776,421
787,421
489,421
266,422
223,422
468,422
366,422
852,422
3514,422
532,422
531,424
555,425
525,425
401,427
415,427
885,429
1072,430
442,430
1068,431
732,431
794,432
362,432
500,432
517,432
570,432
988,433
366,437
476,438
958,443
301,446
838,446
1610,446
2058,446
752,446
81,446
1290,446
2502,446
2226,446
4096,446
1085,447
2480,447
496,447
401,447
655,447
696,447
404,447
454,447
406,447
1041,447
1090,447
1092,447
943,447
415,447
804,447
1047,447
470,447
515,447
852,447
567,447
791,448
653,448
1041,448
1047,448
472,448
852,448
184,448
1016,448
385,448
435,448
1074,448
838,450
2197,450
320,450
1240,450
1048,450
471,450
564,450
424,450
671,450
1984,450
920,450
776,450
529,450
787,450
791,451
695,451
5860,451
5963,451
469,451
615,451
563,451
622,451
477,451
769,451
566,451
670,451
771,451
722,451
574,451
582,451
730,451
734,451
5355,451
82,452
1005,452
791,453
400,453
649,453
496,453
1275,453
1090,453
804,453
470,453
583,453
655,454
1090,454
1039,455
466,455
802,455
1000,455
958,455
519,455
1062,455
735,455
1027,455
543,455
1090,456
5949,457
888,457
694,457
448,457
601,457
653,457
460,457
462,457
948,457
554,457
365,457
5963,457
516,457
669,457
519,457
565,457
184,457
1059,457
482,457
577,457
385,457
47,457
688,457
5355,457
982,457
791,458
402,458
1039,458
896,458
554,458
463,458
958,458
519,458
673,458
583,458
735,458
980,458
543,458
1280,459
554,459
802,459
909,459
1009,459
583,459
888,460
791,460
402,460
1039,460
2577,460
266,460
896,460
462,460
948,460
797,460
554,460
463,460
466,460
5963,460
802,460
468,460
958,460
1008,460
565,460
965,460
1118,460
1062,460
673,460
980,460
5355,460
887,461
899,461
364,461
968,461
1064,461
923,461
1121,461
928,461
1039,462
554,462
463,462
802,462
468,462
909,462
958,462
519,462
913,462
816,462
965,462
1118,462
1019,462
47,462
980,462
836,462
1039,463
606,463
802,463
468,463
909,463
519,463
673,463
47,463
980,463
836,463
666,464
400,465
407,465
379,465
874,465
880,465
738,465
456,466
958,466
516,466
965,466
646,468
1039,468
850,468
3083,468
958,468
516,468
819,468
965,468
684,468
980,468
836,468
582,469
1041,472
1039,473
462,473
554,473
606,473
463,473
610,473
5963,473
802,473
468,473
516,473
519,473
565,473
965,473
1118,473
1062,473
673,473
47,473
980,473
5355,473
445,473
500,474
605,474
1122,474
2627,475
1528,475
838,476
2475,476
405,476
564,476
791,477
1039,477
469,477
615,477
1105,477
769,477
566,477
582,477
561,479
448,480
1039,482
463,482
565,482
980,482
396,482
850,483
824,484
365,485
423,485
772,485
885,485
