id,component,cluster_louvain,cluster_leiden,degree,closeness,eigen_centrality,Label,core_work,oa_id,sdgs
1,0,8,0,34,0.2759187464278522,0.0047733964184112,https://openalex.org/W2781567654,1,https://openalex.org/W2781567654,Life below water
60,0,8,0,28,0.2958376164659638,0.0062103763333479,https://openalex.org/W1685251144,1,https://openalex.org/W1685251144,Life below water
3784,0,8,0,12,0.2862387120610692,0.0032630760751506,https://openalex.org/W2132446930,1,https://openalex.org/W2132446930,Life below water
3797,0,8,0,7,0.2789485084749477,0.0031779291316449,https://openalex.org/W1494460556,1,https://openalex.org/W1494460556,Life below water
3875,0,8,0,117,0.3292844521249818,0.0302328406493023,https://openalex.org/W2141707502,1,https://openalex.org/W2141707502,Life below water
3894,0,8,0,27,0.298428025790542,0.0067783707094256,https://openalex.org/W2274794646,1,https://openalex.org/W2274794646,Life below water
3925,0,8,0,32,0.2908818972758003,0.0103088620825233,https://openalex.org/W2133168052,1,https://openalex.org/W2133168052,Life below water
4171,0,8,0,32,0.2890432000743098,0.0049875096695217,https://openalex.org/W2461726882,1,https://openalex.org/W2461726882,Life below water
4206,0,8,0,29,0.2778186476740771,0.0037492559775286,https://openalex.org/W2127015489,1,https://openalex.org/W2127015489,Life below water
4208,0,8,0,7,0.2531111264454401,0.000837163034516,https://openalex.org/W2346547237,1,https://openalex.org/W2346547237,Life below water
4257,0,8,0,30,0.2775656892210378,0.0060320368361411,https://openalex.org/W1899478169,1,https://openalex.org/W1899478169,Life below water
4343,0,8,0,21,0.272114857932591,0.0043157470621737,https://openalex.org/W2609109115,1,https://openalex.org/W2609109115,Life below water
4403,0,8,0,4,0.2243701386249058,0.0003991978219254,https://openalex.org/W2078401285,1,https://openalex.org/W2078401285,Life below water
4512,0,8,0,28,0.276363440453825,0.0028284600861061,https://openalex.org/W2125396210,1,https://openalex.org/W2125396210,Life below water
4726,0,8,0,21,0.2842370427459568,0.0027950180559017,https://openalex.org/W2068292608,1,https://openalex.org/W2068292608,Life below water
4727,0,8,0,6,0.2453035947163796,0.0005039590355221,https://openalex.org/W2746417783,1,https://openalex.org/W2746417783,Life below water
4854,0,8,0,25,0.2698134488966267,0.0055356416704738,https://openalex.org/W2588770771,1,https://openalex.org/W2588770771,Life below water
4885,0,8,0,20,0.25777216659044,0.0020896499953457,https://openalex.org/W2511305702,1,https://openalex.org/W2511305702,Life below water
4950,0,8,0,59,0.2939674333124771,0.0078415437398151,https://openalex.org/W2084953314,1,https://openalex.org/W2084953314,Life below water
4954,0,8,0,35,0.2876190434118197,0.0049555377172342,https://openalex.org/W2143385076,1,https://openalex.org/W2143385076,Life below water
4957,0,8,0,29,0.2882990653186936,0.0044679142455243,https://openalex.org/W2115194445,1,https://openalex.org/W2115194445,Life below water
4962,0,8,0,6,0.2365986594606199,0.0006856203262642,https://openalex.org/W2064523628,1,https://openalex.org/W2064523628,Life below water
4982,0,8,0,17,0.2718317700490784,0.0044383816118145,https://openalex.org/W1970661490,1,https://openalex.org/W1970661490,Life below water
5051,0,8,0,22,0.3030428072132709,0.0118809957557714,https://openalex.org/W2036600345,1,https://openalex.org/W2036600345,Climate action
5095,0,8,0,34,0.2855386433996303,0.004560298789495,https://openalex.org/W2010259763,1,https://openalex.org/W2010259763,Life below water
5901,0,8,0,26,0.251130256760215,0.0015280858224907,https://openalex.org/W2160184799,1,https://openalex.org/W2160184799,Life below water
2,0,1,2,90,0.297360651937934,0.0058192990337579,https://openalex.org/W2004113883,1,https://openalex.org/W2004113883,Climate action
78,0,1,2,9,0.2477401286834934,0.0007961139599488,https://openalex.org/W2102422908,1,https://openalex.org/W2102422908,Climate action
1560,0,1,2,3,0.2343953912947756,0.0001965856161393,https://openalex.org/W4251498993,1,https://openalex.org/W4251498993,Climate action
5005,0,1,2,8,0.2467264438044378,0.0003242137870758,https://openalex.org/W146506476,1,https://openalex.org/W146506476,Reduced inequalities
5835,0,1,2,24,0.2595032447486733,0.001243970113426,https://openalex.org/W4299610040,1,https://openalex.org/W4299610040,
5856,0,5,1,30,0.3072682332966007,0.0035659328395891,https://openalex.org/W2118732773,1,https://openalex.org/W2118732773,
5952,0,1,2,26,0.2773272066213836,0.0012917285901713,https://openalex.org/W112888852,1,https://openalex.org/W112888852,
4,0,1,2,43,0.2871975353402437,0.002502215038601,https://openalex.org/W2025956066,1,https://openalex.org/W2025956066,Climate action
56,0,1,2,3,0.2294553863933552,0.000112997025149,https://openalex.org/W2158499134,1,https://openalex.org/W2158499134,
1965,0,1,2,17,0.2658911716921402,0.0006536761348722,https://openalex.org/W2000891066,1,https://openalex.org/W2000891066,Climate action
2669,0,1,2,27,0.2784530655744797,0.0023143442548301,https://openalex.org/W2155707623,1,https://openalex.org/W2155707623,
2824,0,1,2,13,0.2522616821538569,0.0005627573449981,https://openalex.org/W2118592314,1,https://openalex.org/W2118592314,Climate action
6,0,1,2,13,0.2627086757414036,0.0006559615346688,https://openalex.org/W2143979076,1,https://openalex.org/W2143979076,
1132,0,1,2,18,0.2415670750698083,0.0002558249132834,https://openalex.org/W2035153982,1,https://openalex.org/W2035153982,Life on land
2053,0,8,0,11,0.2475277927738495,0.0004335528423496,https://openalex.org/W2087612726,1,https://openalex.org/W2087612726,Climate action
7,0,27,0,43,0.2756553858239072,0.004907221938044,https://openalex.org/W2014042014,1,https://openalex.org/W2014042014,Life below water
5463,0,29,1,10,0.249917840690959,0.0020665924599988,https://openalex.org/W2036537527,1,https://openalex.org/W2036537527,Life below water
5770,0,27,0,14,0.251671609879865,0.001189682864647,https://openalex.org/W2053063646,1,https://openalex.org/W2053063646,Life below water
9,0,8,1,9,0.259847332017365,0.001651734562949,https://openalex.org/W2058947207,1,https://openalex.org/W2058947207,Climate action
744,0,6,1,11,0.2554084951689954,0.0012351190532154,https://openalex.org/W1970940206,1,https://openalex.org/W1970940206,Climate action
12,0,1,2,27,0.2663816743633524,0.0008371738783422,https://openalex.org/W2031330365,1,https://openalex.org/W2031330365,
153,0,1,2,18,0.2526915086442872,0.0002798751887777,https://openalex.org/W2153402033,1,https://openalex.org/W2153402033,
1395,0,1,2,4,0.2187702778969259,4.086884902394709e-05,https://openalex.org/W2051446596,1,https://openalex.org/W2051446596,Life below water
1819,0,6,2,14,0.2673811573048775,0.0008937467593079,https://openalex.org/W1993429053,1,https://openalex.org/W1993429053,Climate action
2118,0,1,2,18,0.263490809613959,0.0008160814772265,https://openalex.org/W2051043541,1,https://openalex.org/W2051043541,Climate action
13,0,11,0,2,0.2334579692907886,0.000552078192859,https://openalex.org/W2135968678,1,https://openalex.org/W2135968678,Life below water
202,0,8,0,20,0.2854495193367683,0.0045882225012125,https://openalex.org/W2150303148,1,https://openalex.org/W2150303148,Life below water
15,0,11,1,21,0.2770331756556115,0.0357528926541524,https://openalex.org/W2945377850,1,https://openalex.org/W2945377850,Life below water
117,0,11,1,51,0.2897911861743172,0.098193021001675,https://openalex.org/W1766836583,1,https://openalex.org/W1766836583,Life below water
406,0,11,1,60,0.2997157586962364,0.0862065220646148,https://openalex.org/W2800487529,1,https://openalex.org/W2800487529,Life below water
1370,0,11,1,135,0.3190044828911515,0.1533512937943503,https://openalex.org/W2320249130,1,https://openalex.org/W2320249130,Life below water
1420,0,11,1,29,0.2731171226026926,0.0541210476144279,https://openalex.org/W2911750130,1,https://openalex.org/W2911750130,Life below water
1529,0,11,1,23,0.2687035948391703,0.0466657666038088,https://openalex.org/W2149606039,1,https://openalex.org/W2149606039,Life below water
1601,0,29,0,24,0.2933388276601463,0.0110512834160156,https://openalex.org/W2727188554,1,https://openalex.org/W2727188554,Life below water
2213,0,11,1,11,0.2483905712829069,0.0094508451009293,https://openalex.org/W2790420145,1,https://openalex.org/W2790420145,Life below water
2480,0,16,1,82,0.299454055348761,0.0742369376457357,https://openalex.org/W2810491782,1,https://openalex.org/W2810491782,Climate action
2629,0,16,1,44,0.29870419761626,0.0538917882926073,https://openalex.org/W2095207587,1,https://openalex.org/W2095207587,Life below water
2770,0,11,1,22,0.2586957762581064,0.026489388342435,https://openalex.org/W1977533161,1,https://openalex.org/W1977533161,Life below water
2776,0,11,1,36,0.2792182022293251,0.0824619783786235,https://openalex.org/W2168570199,1,https://openalex.org/W2168570199,Life below water
3064,0,16,1,50,0.2926972907777616,0.0569520629246718,https://openalex.org/W2886990571,1,https://openalex.org/W2886990571,Life below water
3106,0,16,1,100,0.3307133624765367,0.1173483255902792,https://openalex.org/W1525688033,1,https://openalex.org/W1525688033,Life below water
3123,0,16,1,50,0.3092423416484838,0.0767899262638425,https://openalex.org/W3103875307,1,https://openalex.org/W3103875307,Life below water
3133,0,11,1,28,0.2726692561225748,0.0515603416538155,https://openalex.org/W2194439098,1,https://openalex.org/W2194439098,Life below water
3304,0,16,1,25,0.2774955047138008,0.0159973589869228,https://openalex.org/W2790934709,1,https://openalex.org/W2790934709,Climate action
3367,0,11,1,30,0.2699860317954486,0.0586860483911753,https://openalex.org/W2582335767,1,https://openalex.org/W2582335767,Life below water
3373,0,16,1,13,0.2782130563408557,0.0199091330200714,https://openalex.org/W2561151794,1,https://openalex.org/W2561151794,Life below water
3416,0,16,1,36,0.3162466780134111,0.045705278394209,https://openalex.org/W3101213977,1,https://openalex.org/W3101213977,Life below water
3451,0,11,1,46,0.3012956353069788,0.0872489600218748,https://openalex.org/W2176369079,1,https://openalex.org/W2176369079,Life below water
5870,0,1,2,2,0.228576027251966,0.0012946625270471,https://openalex.org/W2897052622,1,https://openalex.org/W2897052622,Climate action
16,0,1,2,4,0.2250234205540577,7.994014744953443e-05,https://openalex.org/W2745243245,1,https://openalex.org/W2745243245,
250,0,1,2,16,0.2593437995184184,0.0003836869232244,https://openalex.org/W2130387153,1,https://openalex.org/W2130387153,Climate action
3305,0,1,2,6,0.2175645735779983,7.279657399391295e-05,https://openalex.org/W1996492128,1,https://openalex.org/W1996492128,Life on land
4160,0,1,2,7,0.2636427285932204,0.0010435661424361,https://openalex.org/W2059467101,1,https://openalex.org/W2059467101,Climate action
17,0,8,0,42,0.2899289924025519,0.0051002546947959,https://openalex.org/W1980938073,1,https://openalex.org/W1980938073,
103,0,8,0,36,0.3089985420774128,0.0109172330034112,https://openalex.org/W1996653992,1,https://openalex.org/W1996653992,Climate action
3735,0,8,0,59,0.3050306359559006,0.0045405320119682,https://openalex.org/W2097621918,1,https://openalex.org/W2097621918,No poverty
3835,0,8,0,25,0.276628156392957,0.002534419995228,https://openalex.org/W2136402371,1,https://openalex.org/W2136402371,Life below water
4499,0,8,0,9,0.250568341486401,0.0010580923922376,https://openalex.org/W1973831399,1,https://openalex.org/W1973831399,Life below water
4733,0,8,0,21,0.2648644161901191,0.0018707357491115,https://openalex.org/W2126592100,1,https://openalex.org/W2126592100,Life below water
4999,0,8,0,7,0.2407404075905188,0.0004779296333459,https://openalex.org/W2157633368,1,https://openalex.org/W2157633368,
18,0,15,1,32,0.2927597561868802,0.0180204429571174,https://openalex.org/W2097691499,1,https://openalex.org/W2097691499,Life below water
111,0,15,1,19,0.2775656892210378,0.010630907849312,https://openalex.org/W1993713496,1,https://openalex.org/W1993713496,Climate action
4065,0,15,1,56,0.3098885248890663,0.0358680303649753,https://openalex.org/W2025212464,1,https://openalex.org/W2025212464,Life below water
4480,0,15,1,69,0.2991438756043557,0.0416558979651374,https://openalex.org/W2101875061,1,https://openalex.org/W2101875061,Life below water
4577,0,15,1,40,0.2953757931964632,0.016546160037901,https://openalex.org/W2032517234,1,https://openalex.org/W2032517234,Life below water
4763,0,15,1,63,0.2946778427694912,0.0337499271299895,https://openalex.org/W2116695301,1,https://openalex.org/W2116695301,Life below water
