id,component,cluster_louvain,cluster_leiden,degree,closeness,eigen_centrality,Label,core_work,oa_id,sdgs
5447,0,5,1,127,0.4348360496244312,0.0126877943890065,https://openalex.org/W1851706974,1,https://openalex.org/W1851706974,Life below water
5453,0,5,1,49,0.3796579333156228,0.0041974623666976,https://openalex.org/W2553005652,1,https://openalex.org/W2553005652,Climate action
5460,0,5,1,126,0.4114882722317733,0.018620844836782,https://openalex.org/W2125361807,1,https://openalex.org/W2125361807,Life below water
5514,0,5,1,45,0.3830236011594791,0.0052507783284123,https://openalex.org/W2100235212,1,https://openalex.org/W2100235212,Climate action
5539,0,6,2,121,0.4150677844334869,0.0227071521680047,https://openalex.org/W2116063019,1,https://openalex.org/W2116063019,Life below water
5583,0,5,1,127,0.4303683223694664,0.0189087127029686,https://openalex.org/W2047294871,1,https://openalex.org/W2047294871,Climate action
5634,0,5,1,72,0.4033813210476142,0.0086864235532863,https://openalex.org/W2161074371,1,https://openalex.org/W2161074371,Life below water
5655,0,5,1,31,0.3903532837881978,0.0046203293148026,https://openalex.org/W2036927940,1,https://openalex.org/W2036927940,Life below water
5722,0,5,1,36,0.3782447170476802,0.0038997482229701,https://openalex.org/W561343248,1,https://openalex.org/W561343248,Life below water
5755,0,5,1,154,0.4312477295041415,0.0174453559818799,https://openalex.org/W2161074445,1,https://openalex.org/W2161074445,Climate action
5759,0,9,1,137,0.4340449383175681,0.0214783396462334,https://openalex.org/W1977020983,1,https://openalex.org/W1977020983,Climate action
5763,0,5,1,50,0.3789238388378356,0.0052477381972967,https://openalex.org/W1821436614,1,https://openalex.org/W1821436614,
5764,0,5,1,44,0.3829701361118577,0.0050557417667637,https://openalex.org/W2737147913,1,https://openalex.org/W2737147913,Climate action
5792,0,5,0,27,0.364162205349794,0.0020293473382482,https://openalex.org/W1507151753,1,https://openalex.org/W1507151753,Life below water
41,0,4,0,6,0.3552043054253428,0.0008833867491969,https://openalex.org/W1608548475,1,https://openalex.org/W1608548475,Climate action
302,0,3,3,222,0.4486668937212344,0.0256192063892648,https://openalex.org/W1956280464,1,https://openalex.org/W1956280464,Life on land
2144,0,6,2,458,0.450065297753502,0.0743943455133212,https://openalex.org/W2108001777,1,https://openalex.org/W2108001777,Life below water
2231,0,9,1,150,0.4265544239902594,0.0208611318143398,https://openalex.org/W2111868431,1,https://openalex.org/W2111868431,Life below water
2447,0,9,1,148,0.4186142897627934,0.017239728706308,https://openalex.org/W2012492797,1,https://openalex.org/W2012492797,Life below water
3000,0,4,4,14,0.3248014745004556,0.0007057265998116,https://openalex.org/W3144460945,1,https://openalex.org/W3144460945,Climate action
3020,0,4,2,206,0.4209586582440121,0.0319832167729838,https://openalex.org/W2037446278,1,https://openalex.org/W2037446278,Climate action
3550,0,4,2,85,0.3988947448539326,0.0129519405898048,https://openalex.org/W2130339099,1,https://openalex.org/W2130339099,"Peace, justice, and strong institutions"
3554,0,4,2,179,0.4312477295041415,0.0312184580021869,https://openalex.org/W1506222503,1,https://openalex.org/W1506222503,Life below water
5712,0,5,5,167,0.4148481220390638,0.0189866381072909,https://openalex.org/W2010690624,1,https://openalex.org/W2010690624,Life below water
21,0,7,3,6,0.3128390028626395,0.0004275331691162,https://openalex.org/W2958473689,1,https://openalex.org/W2958473689,Zero hunger
155,0,7,3,305,0.4424087809570827,0.0210196831042093,https://openalex.org/W2150756205,1,https://openalex.org/W2150756205,Climate action
257,0,7,3,100,0.3723414609629298,0.0043955945772455,https://openalex.org/W2120526077,1,https://openalex.org/W2120526077,Responsible consumption and production
403,0,7,3,240,0.4342510375285452,0.017922672582632,https://openalex.org/W2002841870,1,https://openalex.org/W2002841870,Climate action
646,0,7,3,203,0.4305033822540952,0.0155597176043341,https://openalex.org/W2784513399,1,https://openalex.org/W2784513399,
748,0,7,3,91,0.3906033677541783,0.0072849005258853,https://openalex.org/W2555442175,1,https://openalex.org/W2555442175,Clean water and sanitation
22,0,4,4,12,0.3188006106327386,0.0002184340963482,https://openalex.org/W1031773218,1,https://openalex.org/W1031773218,Climate action
2594,0,4,4,22,0.3314124606034122,0.0004925167244451,https://openalex.org/W2590526273,1,https://openalex.org/W2590526273,Climate action
3212,0,4,4,36,0.353624805710556,0.0012311326932489,https://openalex.org/W1985122716,1,https://openalex.org/W1985122716,Climate action
30,0,6,2,169,0.4132235944130353,0.0317050296201018,https://openalex.org/W1985078373,1,https://openalex.org/W1985078373,Life below water
164,0,9,1,168,0.4213465491983949,0.0265724136277208,https://openalex.org/W2526255222,1,https://openalex.org/W2526255222,Climate action
240,0,9,1,71,0.4012868297652989,0.0121001039371636,https://openalex.org/W2276449708,1,https://openalex.org/W2276449708,Life below water
325,0,6,2,41,0.3579851324511154,0.0056611656920615,https://openalex.org/W2903095208,1,https://openalex.org/W2903095208,Climate action
813,0,7,3,153,0.4109028089119887,0.0192456536268875,https://openalex.org/W2168520583,1,https://openalex.org/W2168520583,Climate action
849,0,6,2,171,0.4019334976714545,0.0305179045253425,https://openalex.org/W2597461121,1,https://openalex.org/W2597461121,Life below water
897,0,7,3,50,0.400905684971922,0.0067506388649625,https://openalex.org/W2080214948,1,https://openalex.org/W2080214948,Climate action
992,0,7,3,15,0.3429283238679268,0.0018225006845425,https://openalex.org/W2496996840,1,https://openalex.org/W2496996840,Life below water
1136,0,9,1,233,0.4366700708428057,0.032480096652033,https://openalex.org/W2409662752,1,https://openalex.org/W2409662752,Life below water
1137,0,9,1,158,0.4168968325642529,0.0275440176147982,https://openalex.org/W2155224709,1,https://openalex.org/W2155224709,Climate action
1259,0,9,1,118,0.4100736948068677,0.0173415857499511,https://openalex.org/W2256787008,1,https://openalex.org/W2256787008,Climate action
2242,0,9,1,400,0.4597566912618933,0.0445855289900021,https://openalex.org/W2155069722,1,https://openalex.org/W2155069722,Life below water
2387,0,6,2,203,0.4260245427182217,0.0323774392639481,https://openalex.org/W2069842022,1,https://openalex.org/W2069842022,Climate action
2439,0,6,2,103,0.3895496315640137,0.0218405432197529,https://openalex.org/W2767863023,1,https://openalex.org/W2767863023,Life below water
