id,component,cluster_louvain,cluster_leiden,degree,closeness,eigen_centrality,Label,core_work,oa_id,sdgs
1,0,0,0,92,0.4164767673533603,0.0086505605075781,https://openalex.org/W2781567654,1,https://openalex.org/W2781567654,Life below water
55,0,7,1,291,0.4786632212846454,0.0386758299176176,https://openalex.org/W1974470230,1,https://openalex.org/W1974470230,Climate action
60,0,0,0,297,0.4720385005816702,0.0290838271561471,https://openalex.org/W1685251144,1,https://openalex.org/W1685251144,Life below water
107,0,0,0,510,0.4984450626051057,0.0388284334991294,https://openalex.org/W2081395300,1,https://openalex.org/W2081395300,Life below water
124,0,0,0,75,0.4410662902933456,0.0103366343476003,https://openalex.org/W2583021177,1,https://openalex.org/W2583021177,Climate action
127,0,0,0,78,0.4187821439842414,0.0088731810539462,https://openalex.org/W2146858498,1,https://openalex.org/W2146858498,Life below water
128,0,0,0,212,0.4541110316083622,0.0214302885852283,https://openalex.org/W2516269908,1,https://openalex.org/W2516269908,Life below water
149,0,0,0,143,0.4226101343314465,0.0085227105487323,https://openalex.org/W2782456798,1,https://openalex.org/W2782456798,Life below water
158,0,0,1,262,0.4758169677103971,0.0410247116939094,https://openalex.org/W2122156969,1,https://openalex.org/W2122156969,Climate action
198,0,8,2,767,0.536559559333001,0.0924853683817372,https://openalex.org/W2054653365,1,https://openalex.org/W2054653365,Climate action
205,0,0,0,132,0.4594257902867862,0.0163729738001929,https://openalex.org/W2125980603,1,https://openalex.org/W2125980603,Climate action
250,0,1,4,91,0.4301239800111043,0.0058140589910853,https://openalex.org/W2130387153,1,https://openalex.org/W2130387153,Climate action
261,0,0,2,69,0.4300795227521884,0.0102579562282103,https://openalex.org/W2624462411,1,https://openalex.org/W2624462411,Life below water
269,0,0,0,49,0.4130044052235655,0.006907686694207,https://openalex.org/W2472198833,1,https://openalex.org/W2472198833,
270,0,0,0,242,0.4700654521720993,0.0297296654545563,https://openalex.org/W2032511533,1,https://openalex.org/W2032511533,Life below water
307,0,0,0,209,0.4437474013679666,0.0159095808898519,https://openalex.org/W2096973757,1,https://openalex.org/W2096973757,Life below water
315,0,0,0,239,0.4651782428873586,0.0333293967897677,https://openalex.org/W2092956214,1,https://openalex.org/W2092956214,Life below water
1195,0,0,0,33,0.3694742836643067,0.002107225060836,https://openalex.org/W1714244779,1,https://openalex.org/W1714244779,
1322,0,8,2,238,0.4553035761710716,0.0417562461697136,https://openalex.org/W2594584909,1,https://openalex.org/W2594584909,Life below water
1634,0,7,1,123,0.4228678234377462,0.0197413212886918,https://openalex.org/W1994889450,1,https://openalex.org/W1994889450,Life below water
2434,0,5,2,112,0.4174796210120821,0.0203471606905354,https://openalex.org/W2795322264,1,https://openalex.org/W2795322264,Life below water
2718,0,0,0,171,0.4509612422919066,0.0182704215038329,https://openalex.org/W2157695856,1,https://openalex.org/W2157695856,Life below water
2767,0,5,2,288,0.4695350239931644,0.0491158036607985,https://openalex.org/W2253610007,1,https://openalex.org/W2253610007,Climate action
3659,0,0,0,5,0.3265593613739933,0.000303958871725,https://openalex.org/W1982793477,1,https://openalex.org/W1982793477,Life on land
3748,0,0,0,61,0.3969302091602998,0.0059375839902761,https://openalex.org/W2046083822,1,https://openalex.org/W2046083822,Life below water
3784,0,0,0,61,0.3753061588010664,0.0048558662658814,https://openalex.org/W2132446930,1,https://openalex.org/W2132446930,Life below water
3797,0,0,0,80,0.3835040905647394,0.006320757486094,https://openalex.org/W1494460556,1,https://openalex.org/W1494460556,Life below water
3835,0,0,0,123,0.4443160045517803,0.0121647606728886,https://openalex.org/W2136402371,1,https://openalex.org/W2136402371,Life below water
3868,0,0,0,25,0.3954213990903186,0.0035912651362908,https://openalex.org/W2766824947,1,https://openalex.org/W2766824947,Life below water
