source,target,weight,type
1000,406,1,undirected
1000,420,1,undirected
1000,422,1,undirected
1000,437,1,undirected
1000,447,1,undirected
1000,448,1,undirected
1000,451,1,undirected
1000,453,2,undirected
1000,455,2,undirected
1000,458,3,undirected
1000,459,1,undirected
1000,460,3,undirected
1000,462,1,undirected
1000,463,1,undirected
1000,468,1,undirected
1000,473,1,undirected
1000,477,2,undirected
1000,482,1,undirected
1000,5005,1,undirected
1000,5186,1,undirected
1000,519,1,undirected
1000,522,1,undirected
1000,5270,1,undirected
1000,560,1,undirected
1000,563,1,undirected
1000,565,1,undirected
1000,567,1,undirected
1000,583,1,undirected
1000,589,1,undirected
1000,594,4,undirected
1000,595,2,undirected
1000,596,1,undirected
1000,606,1,undirected
1000,614,1,undirected
1000,631,1,undirected
1000,64,1,undirected
1000,646,1,undirected
1000,648,1,undirected
1000,649,1,undirected
1000,652,1,undirected
1000,663,1,undirected
1000,669,1,undirected
1000,673,1,undirected
1000,674,1,undirected
1000,677,1,undirected
1000,695,2,undirected
1000,701,1,undirected
1000,718,1,undirected
1000,722,2,undirected
1000,724,1,undirected
1000,730,1,undirected
1000,734,1,undirected
1000,758,1,undirected
1000,777,1,undirected
1000,797,1,undirected
1000,798,1,undirected
1000,8,1,undirected
1000,802,1,undirected
1000,841,1,undirected
1000,864,1,undirected
1000,884,1,undirected
1000,887,2,undirected
1000,888,6,undirected
1000,891,1,undirected
1000,909,1,undirected
1000,913,1,undirected
1000,948,1,undirected
1000,960,1,undirected
1000,978,2,undirected
1000,981,1,undirected
1002,1100,1,undirected
1002,408,1,undirected
1002,410,1,undirected
1002,427,1,undirected
1002,447,1,undirected
1002,496,1,undirected
1002,515,1,undirected
1002,549,1,undirected
1002,594,1,undirected
1002,595,1,undirected
1002,597,1,undirected
1002,666,1,undirected
1002,696,1,undirected
1002,698,1,undirected
1002,763,1,undirected
1002,939,1,undirected
1002,943,1,undirected
1002,950,1,undirected
1004,1102,1,undirected
1004,400,1,undirected
1004,506,1,undirected
1004,512,1,undirected
1004,820,1,undirected
1004,988,1,undirected
1006,1036,1,undirected
1006,1048,2,undirected
1006,1053,1,undirected
1006,1060,1,undirected
1006,1073,1,undirected
1006,1084,1,undirected
1006,1086,1,undirected
1006,1087,1,undirected
1006,1101,1,undirected
1006,1104,1,undirected
1006,1109,1,undirected
1006,1325,1,undirected
1006,1473,1,undirected
1006,155,1,undirected
1006,1968,1,undirected
1006,2197,3,undirected
1006,298,1,undirected
1006,363,1,undirected
1006,364,1,undirected
1006,374,1,undirected
1006,379,1,undirected
1006,390,1,undirected
1006,397,1,undirected
1006,403,1,undirected
1006,409,1,undirected
1006,414,1,undirected
1006,421,2,undirected
1006,447,1,undirected
1006,450,1,undirected
1006,453,1,undirected
1006,465,1,undirected
1006,474,1,undirected
1006,499,1,undirected
1006,500,2,undirected
1006,502,1,undirected
1006,511,1,undirected
1006,550,1,undirected
1006,551,1,undirected
1006,552,1,undirected
1006,553,2,undirected
1006,557,2,undirected
1006,564,1,undirected
1006,573,1,undirected
1006,577,1,undirected
1006,588,1,undirected
1006,596,2,undirected
1006,598,3,undirected
1006,599,1,undirected
1006,601,1,undirected
1006,604,2,undirected
1006,606,1,undirected
1006,607,1,undirected
1006,625,1,undirected
1006,632,2,undirected
1006,647,2,undirected
1006,649,1,undirected
1006,659,1,undirected
1006,662,1,undirected
1006,664,1,undirected
1006,671,1,undirected
1006,675,1,undirected
1006,689,1,undirected
1006,694,1,undirected
1006,697,1,undirected
1006,698,2,undirected
1006,703,2,undirected
1006,704,1,undirected
1006,710,1,undirected
1006,716,1,undirected
1006,745,1,undirected
1006,749,1,undirected
1006,759,2,undirected
1006,762,1,undirected
1006,766,1,undirected
1006,776,1,undirected
1006,792,1,undirected
1006,796,1,undirected
1006,805,1,undirected
1006,813,1,undirected
1006,820,1,undirected
1006,824,1,undirected
1006,842,1,undirected
1006,845,1,undirected
1006,855,1,undirected
1006,858,1,undirected
1006,867,1,undirected
1006,887,2,undirected
1006,889,1,undirected
1006,890,1,undirected
1006,916,2,undirected
1006,920,1,undirected
1006,935,1,undirected
1006,937,1,undirected
1006,939,1,undirected
1006,940,1,undirected
1006,945,2,undirected
1006,948,1,undirected
1006,949,2,undirected
1006,950,1,undirected
1006,952,2,undirected
1006,966,1,undirected
1007,600,1,undirected
1007,679,1,undirected
1008,1036,1,undirected
1008,1039,1,undirected
1008,1448,1,undirected
1008,1867,1,undirected
1008,1950,1,undirected
1008,299,1,undirected
1008,320,1,undirected
1008,3374,1,undirected
1008,3398,1,undirected
1008,366,1,undirected
1008,400,1,undirected
1008,402,1,undirected
1008,406,1,undirected
1008,413,1,undirected
1008,447,1,undirected
1008,453,1,undirected
1008,454,1,undirected
1008,456,1,undirected
1008,458,1,undirected
1008,460,1,undirected
1008,462,1,undirected
1008,463,1,undirected
1008,468,1,undirected
1008,473,1,undirected
1008,482,1,undirected
1008,56,1,undirected
1008,565,1,undirected
1008,571,1,undirected
1008,5834,1,undirected
1008,646,1,undirected
1008,649,1,undirected
1008,724,1,undirected
1008,758,1,undirected
1008,791,1,undirected
1008,792,1,undirected
1008,798,1,undirected
1008,802,1,undirected
1008,812,1,undirected
1008,816,2,undirected
1008,889,1,undirected
1008,909,1,undirected
1008,914,1,undirected
1008,982,1,undirected
1008,998,1,undirected
1009,1027,1,undirected
1009,1036,1,undirected
1009,1044,1,undirected
1009,1086,1,undirected
1009,1105,1,undirected
1009,1465,1,undirected
1009,155,2,undirected
1009,198,1,undirected
1009,2961,1,undirected
1009,363,1,undirected
1009,366,1,undirected
1009,374,1,undirected
1009,397,1,undirected
1009,402,2,undirected
1009,455,1,undirected
1009,457,1,undirected
1009,458,2,undirected
1009,459,1,undirected
1009,460,2,undirected
1009,462,2,undirected
1009,463,1,undirected
1009,468,1,undirected
1009,473,2,undirected
1009,477,1,undirected
1009,482,1,undirected
1009,519,2,undirected
1009,522,1,undirected
1009,5270,1,undirected
1009,550,1,undirected
1009,554,1,undirected
1009,565,1,undirected
1009,583,1,undirected
1009,5834,1,undirected
1009,595,1,undirected
1009,596,1,undirected
1009,599,1,undirected
1009,601,2,undirected
1009,606,2,undirected
1009,614,1,undirected
1009,669,2,undirected
1009,673,1,undirected
1009,674,2,undirected
1009,695,1,undirected
1009,704,1,undirected
1009,718,1,undirected
1009,722,1,undirected
1009,724,1,undirected
1009,750,1,undirected
1009,758,1,undirected
1009,797,2,undirected
1009,841,1,undirected
1009,864,1,undirected
1009,884,1,undirected
1009,888,4,undirected
1009,891,1,undirected
1009,909,1,undirected
1009,913,1,undirected
1009,948,3,undirected
1009,978,1,undirected
101,102,2,undirected
101,103,3,undirected
101,106,7,undirected
101,107,4,undirected
101,115,2,undirected
101,1179,3,undirected
101,1180,2,undirected
101,1230,2,undirected
101,1247,1,undirected
101,1274,1,undirected
101,1296,2,undirected
101,1304,1,undirected
101,131,2,undirected
101,1324,2,undirected
101,1370,1,undirected
101,14,1,undirected
101,1441,1,undirected
101,1453,1,undirected
101,149,2,undirected
101,1515,2,undirected
101,1516,1,undirected
101,153,1,undirected
101,1563,1,undirected
101,1566,3,undirected
101,158,1,undirected
101,1617,2,undirected
101,1629,1,undirected
101,165,1,undirected
101,1675,1,undirected
101,1676,1,undirected
101,1681,2,undirected
101,1691,1,undirected
101,1697,1,undirected
101,17,4,undirected
101,1706,1,undirected
101,171,1,undirected
101,1725,1,undirected
