	doi	registration_agency
147	10.1007/s13280-018-1030-2	Crossref
148	10.1175/BAMS-D-16-0007.1	Crossref
149	10.1175/2009BAMS2607.1	Crossref
150	10.1029/2011GL050087	Crossref
151	10.1073/pnas.1222469111	Crossref
152	10.1098/rspb.2017.1888	Crossref
153	10.1038/nclimate3252	Crossref
154	10.1080/01900692.2018.1491597	Crossref
155	10.1016/j.quascirev.2013.11.002	Crossref
156	10.1007/s10584-017-1900-9	Crossref
157	10.1007/s13280-011-0219-4	Crossref
158	10.1002/2015JC011495	Crossref
159	10.1007/s10113-018-1385-8	Crossref
160	10.1126/science.aan8048	Crossref
161	10.1017/S0032247400013413	Crossref
162	10.1890/1051-0761(2000)010[1270:UTEKIS]2.0.CO;2	Resource not found
163	10.1038/478182a	Crossref
164	10.5751/ES-09171-220309	Crossref
165	10.1038/nclimate2026	Crossref
166	10.1175/1520-0442(1999)012<2169:TDROTG>2.0.CO;2	Resource not found
167	10.2166/wp.2016.185	Crossref
168	10.1038/nrmicro2386	Crossref
169	10.1038/nclimate1463	Crossref
170	10.1038/nclimate3103	Crossref
171	10.1038/nclimate2725	Crossref
172	10.1071/PC140165	Crossref
173	10.1029/2017JG004248	Crossref
174	10.1007/978-3-319-10608-3	Crossref
175	10.1016/j.gloenvcha.2015.03.002	Crossref
176	10.1073/pnas.1008162107	Crossref
177	10.1111/j.2153-3490.1976.tb00701.x	Crossref
178	10.5194/bg-113647-2014	Resource not found
179	10.1007/s10113-014-0709-6	Crossref
180	10.1175/JCLI-D-16-0412.1	Crossref
181	10.1016/j.pocean.2017.04.001	Crossref
182	10.1016/j.envsci.2015.05.017	Crossref
183	10.1016/j.gloenvcha.2016.08.002	Crossref
184	10.1038/s41558-018-0095-z	Crossref
185	10.7930/J01834ND	Crossref
186	10.1038/nature02786	Crossref
187	10.4337/9781783478330.00031	Crossref
188	10.1016/j.gloplacha.2015.02.008	Crossref
189	10.1002/2016EF000362	Crossref
190	10.1016/j.gloenvcha.2016.05.015	Crossref
191	10.14512/gaia.28.2.5	Crossref
192	10.1088/1748-9326/11/3/034010	Crossref
193	10.5670/oceanog.2010.07	Crossref
194	10.4000/emscat.3280	Crossref
195	10.1016/j.envsci.2018.01.012	Crossref
196	10.5194/essd-10-2141-2018	Crossref
197	10.1038/nclimate2728	Crossref
198	10.1080/02508060.2017.1416442	Crossref
199	10.5194/os-14-1093-2018	Crossref
200	10.7249/MR1626	Crossref
201	10.1073/pnas.0705414105	Crossref
202	10.1080/16742834.2016.1159911	Crossref
203	10.1038/s41586-018-0371-0	Crossref
204	10.1175/JCLI-D-15-0391.1	Crossref
205	10.1038/nature06949	Crossref
206	10.1007/s10584-016-1645-x	Crossref
207	10.1016/j.gloenvcha.2017.02.005	Crossref
208	10.1126/science.aaf5002	Crossref
209	10.1016/j.envsoft.2016.03.014	Crossref
210	10.1007/s10584-015-1535-7	Crossref
211	10.1007/978-3-030-05252-2	Crossref
212	10.1007/978-3-030-05252-2_1	Crossref
213	10.1016/j.gloenvcha.2013.12.007	Crossref
214	10.1017/CBO9781107415324.013	Crossref
215	10.1029/2007JC004095	Crossref
216	10.4337/9781785366598	Crossref
217	10.1175/2009JPO4236.1	Crossref
218	10.1073/pnas.1719903115	Crossref
219	10.1002/wcc.51	Crossref
220	10.1007/s10393-011-0698-6	Crossref
221	10.1016/j.ecss.2015.05.010	Crossref
222	10.1007/s10668-017-9934-8	Crossref
223	10.1016/j.gloplacha.2016.08.009	Crossref
224	10.1007/s12571-018-0827-y	Crossref
225	10.1002/eet.1816	Crossref
226	10.1371/journal.pone.0174246	Crossref
227	10.1111/gcb.13829	Crossref
228	10.1111/gcb.14108	Crossref
229	10.1126/science.aaf1160	Crossref
230	10.1007/978-981-287-976-9_5	Crossref
231	10.5751/ES-06966-190454	Crossref
232	10.1038/nature12540	Crossref
233	10.1002/wcc.403	Crossref
234	10.1038/nature08823	Crossref
235	10.1038/s41558-018-0126-9	Crossref
236	10.4000/rga.3790	Crossref
237	10.1126/science.aat6711	Crossref
238	10.1007/s10584-012-0513-6	Crossref
239	10.5194/nhess-18-3137-2018	Crossref
240	10.1175/WCAS-D-18-0032.1	Crossref
241	10.1016/j.worlddev.2018.02.029	Crossref
242	10.1177/0951692890002004001	Crossref
243	10.1080/00049182.2015.1077539	Crossref
244	10.1080/24694452.2016.1235495	Crossref
245	10.1038/nclimate3179	Crossref
246	10.5194/gmd-9-3461-2016	Crossref
247	10.1002/geo2.28	Crossref
248	10.1016/j.gloenvcha.2015.01.004	Crossref
249	10.1016/j.envsci.2016.11.010	Crossref
250	10.1080/14693062.2018.1560242	Crossref
251	10.5194/essd-8-297-2016	Crossref
252	10.1038/s41561-018-0152-2	Crossref
253	10.1016/j.gloenvcha.2010.07.004	Crossref
254	10.1146/annurev-environ-102016-060847	Crossref
255	10.1016/j.ecolecon.2006.09.026	Crossref
256	10.4324/9781315441481	Crossref
257	10.1038/sdata.2017.88	Crossref
258	10.1016/j.envsci.2018.10.008	Crossref
259	10.1016/j.envsci.2018.06.021	Crossref
260	10.1088/1748-9326/9/3/034016	Crossref
261	10.1175/1520-0477(2000)081<0443:IOEWAC>2.3.CO;2	Resource not found
262	10.3112/erdkunde.2015.01.05	Crossref
263	10.1007/s10584-014-1303-0	Crossref
264	10.1073/pnas.1220673110	Crossref
