Source,Target,Type,Id,Label,Weight
4391,60,Directed,728851,,1
4390,60,Directed,728737,,6
4356,60,Directed,728033,,1
4346,60,Directed,727838,,1
4343,60,Directed,727747,,3
4327,60,Directed,727548,,1
4308,60,Directed,727288,,1
4304,60,Directed,727105,,3
4303,60,Directed,727052,,1
4301,60,Directed,726933,,1
4295,60,Directed,726694,,1
4285,60,Directed,726456,,1
4269,60,Directed,726326,,1
4257,60,Directed,726013,,5
4256,60,Directed,725927,,1
4255,60,Directed,725864,,2
4254,60,Directed,725783,,1
4245,60,Directed,725445,,3
4236,60,Directed,725314,,1
4229,60,Directed,725200,,2
4213,60,Directed,724929,,2
4208,60,Directed,724755,,2
4206,60,Directed,724615,,6
4180,60,Directed,724086,,1
4171,60,Directed,723919,,3
4169,60,Directed,723852,,1
4168,60,Directed,723811,,1
4165,60,Directed,723742,,1
4162,60,Directed,723641,,2
4161,60,Directed,723600,,1
4157,60,Directed,723526,,1
4156,60,Directed,723402,,5
4134,60,Directed,723139,,1
4125,60,Directed,722896,,1
4121,60,Directed,722744,,2
4108,60,Directed,722015,,4
4092,60,Directed,721823,,1
4087,60,Directed,721781,,1
4084,60,Directed,721724,,1
4063,60,Directed,721108,,1
4062,60,Directed,720852,,3
4049,60,Directed,720648,,1
4045,60,Directed,720595,,1
4027,60,Directed,720309,,1
4021,60,Directed,720082,,4
4020,60,Directed,720042,,1
4019,60,Directed,719985,,1
4018,60,Directed,719928,,2
4017,60,Directed,719862,,1
4006,60,Directed,719652,,2
3994,60,Directed,719420,,1
3988,60,Directed,719328,,1
3986,60,Directed,719187,,1
3985,60,Directed,719157,,2
3982,60,Directed,718988,,4
3975,60,Directed,718741,,1
3973,60,Directed,718588,,4
3969,60,Directed,718350,,3
3966,60,Directed,718166,,2
3944,60,Directed,718050,,1
3925,60,Directed,717739,,4
3923,60,Directed,717589,,4
3922,60,Directed,717533,,1
3920,60,Directed,717370,,1
3908,60,Directed,717192,,1
3901,60,Directed,717064,,2
3899,60,Directed,716961,,2
3897,60,Directed,716909,,1
3894,60,Directed,716800,,3
3880,60,Directed,716283,,2
3875,60,Directed,715829,,12
3873,60,Directed,715662,,1
3868,60,Directed,715629,,1
3856,60,Directed,715461,,1
3846,60,Directed,715202,,3
3842,60,Directed,715128,,1
3840,60,Directed,714914,,1
3839,60,Directed,714847,,1
3838,60,Directed,714776,,1
3835,60,Directed,714683,,2
3830,60,Directed,714382,,1
3804,60,Directed,714119,,1
3797,60,Directed,713936,,2
3793,60,Directed,713806,,1
3792,60,Directed,713778,,1
3789,60,Directed,713706,,1
3784,60,Directed,713536,,3
3782,60,Directed,713455,,1
3748,60,Directed,712960,,1
3737,60,Directed,712543,,1
3016,60,Directed,691152,,4
3007,60,Directed,689763,,1
2865,60,Directed,683249,,1
2743,60,Directed,679300,,1
2718,60,Directed,677703,,1
2388,60,Directed,667088,,2
2324,60,Directed,664888,,1
2253,60,Directed,662514,,1
2227,60,Directed,660991,,1
2198,60,Directed,659672,,1
1966,60,Directed,648977,,1
1825,60,Directed,644007,,1
1725,60,Directed,639646,,2
1675,60,Directed,637243,,1
1674,60,Directed,637223,,1
1581,60,Directed,633184,,1
1507,60,Directed,628882,,1
1304,60,Directed,618453,,2
1274,60,Directed,616832,,2
315,60,Directed,592230,,1
307,60,Directed,591832,,1
270,60,Directed,589640,,1
265,60,Directed,589461,,1
258,60,Directed,589115,,1
249,60,Directed,588285,,1
205,60,Directed,587085,,1
202,60,Directed,586842,,1
169,60,Directed,585078,,1
132,60,Directed,582515,,1
131,60,Directed,582368,,1
128,60,Directed,582110,,3
115,60,Directed,580721,,2
109,60,Directed,580285,,1
107,60,Directed,579750,,6
106,60,Directed,579479,,1
101,60,Directed,578224,,2
39,60,Directed,577658,,1
28,60,Directed,577213,,1
17,60,Directed,576211,,3
5,60,Directed,575627,,1
107,5955,Directed,580258,,2
107,5947,Directed,580254,,13
107,5941,Directed,580253,,1
107,5933,Directed,580252,,1
107,5914,Directed,580251,,1
107,5907,Directed,580250,,1
107,5865,Directed,580249,,1
107,5862,Directed,580248,,1
107,5855,Directed,580245,,1
107,5781,Directed,580239,,1
107,5752,Directed,580236,,4
107,5718,Directed,580235,,2
107,5713,Directed,580234,,1
107,5668,Directed,580233,,2
107,5643,Directed,580232,,1
107,5582,Directed,580230,,1
107,5579,Directed,580229,,3
107,5577,Directed,580228,,1
107,5575,Directed,580227,,1
107,5534,Directed,580225,,1
107,5530,Directed,580224,,1
107,5513,Directed,580223,,2
107,5450,Directed,580222,,2
107,5444,Directed,580221,,2
107,5435,Directed,580220,,1
107,5433,Directed,580219,,1
107,5402,Directed,580218,,1
107,5400,Directed,580217,,5
107,5399,Directed,580216,,5
107,5380,Directed,580215,,1
107,5359,Directed,580213,,1
107,5320,Directed,580211,,2
107,5318,Directed,580210,,2
107,5317,Directed,580209,,1
107,5315,Directed,580208,,1
107,5285,Directed,580206,,1
107,5277,Directed,580205,,1
107,5257,Directed,580204,,1
107,5229,Directed,580202,,1
107,5184,Directed,580199,,1
107,5180,Directed,580198,,1
107,5161,Directed,580197,,1
107,5144,Directed,580196,,2
107,5140,Directed,580194,,2
107,5123,Directed,580193,,1
107,5122,Directed,580192,,1
107,5118,Directed,580191,,1
107,5111,Directed,580189,,2
107,5101,Directed,580188,,1
107,5100,Directed,580187,,3
107,5091,Directed,580186,,4
107,5068,Directed,580185,,1
107,5064,Directed,580184,,1
107,5054,Directed,580182,,1
107,5050,Directed,580181,,2
107,5049,Directed,580180,,2
107,5048,Directed,580179,,4
107,5045,Directed,580178,,1
107,5029,Directed,580176,,1
107,5027,Directed,580175,,1
107,5004,Directed,580174,,1
107,5003,Directed,580173,,1
107,5002,Directed,580172,,1
107,4999,Directed,580171,,2
107,4997,Directed,580170,,1
107,4990,Directed,580169,,1
107,4987,Directed,580168,,2
107,4986,Directed,580167,,1
107,4984,Directed,580166,,1
107,4983,Directed,580165,,1
107,4977,Directed,580164,,3
107,4974,Directed,580163,,2
107,4969,Directed,580162,,2
107,4968,Directed,580161,,2
107,4967,Directed,580160,,1
107,4963,Directed,580159,,1
107,4960,Directed,580158,,1
107,4959,Directed,580157,,1
107,4957,Directed,580156,,1
107,4954,Directed,580155,,4
107,4953,Directed,580154,,4
107,4951,Directed,580153,,1
107,4950,Directed,580152,,1
107,4949,Directed,580151,,2
107,4910,Directed,580149,,1
107,4902,Directed,580148,,1
107,4872,Directed,580147,,1
107,4867,Directed,580146,,2
107,4866,Directed,580145,,1
107,4861,Directed,580144,,1
107,4854,Directed,580143,,4
107,4848,Directed,580141,,1
107,4837,Directed,580140,,1
107,4828,Directed,580139,,1
107,4825,Directed,580138,,1
107,4823,Directed,580137,,2
107,4819,Directed,580136,,1
107,4815,Directed,580135,,1
107,4811,Directed,580134,,6
107,4807,Directed,580133,,1
107,4796,Directed,580132,,1
107,4785,Directed,580131,,4
107,4779,Directed,580130,,1
107,4777,Directed,580129,,1
107,4768,Directed,580128,,1
107,4765,Directed,580127,,1
107,4741,Directed,580125,,1
107,4730,Directed,580124,,1
107,4726,Directed,580123,,1
107,4725,Directed,580122,,1
107,4724,Directed,580121,,2
107,4721,Directed,580120,,1
107,4720,Directed,580119,,1
107,4718,Directed,580118,,3
107,4717,Directed,580117,,10
107,4715,Directed,580116,,17
107,4698,Directed,580115,,1
107,4691,Directed,580114,,2
107,4675,Directed,580112,,1
107,4670,Directed,580111,,2
107,4660,Directed,580110,,1
107,4645,Directed,580109,,1
107,4644,Directed,580108,,1
107,4643,Directed,580107,,1
107,4642,Directed,580106,,1
107,4630,Directed,580105,,5
107,4628,Directed,580104,,1
