id,component,cluster_louvain,cluster_leiden,degree,closeness,eigen_centrality,Label,core_work
5074,0,0,1,37,0.3971552720831965,0.0007404962730064,https://openalex.org/W2189441239,1
1509,0,2,2,19,0.372832178673957,0.0005907936377644,https://openalex.org/W2295161000,1
2326,0,2,2,24,0.3737788172748835,0.0004866033044786,https://openalex.org/W2747728743,1
2103,0,4,0,28,0.393074139341505,0.0004789228636192,https://openalex.org/W2337705212,1
2400,0,4,0,43,0.4076874192784206,0.0006056628925206,https://openalex.org/W2337471628,1
2553,0,4,0,16,0.3866605609775279,0.0003721866164131,https://openalex.org/W2580600350,1
1537,0,3,0,45,0.3993754758403206,0.002458984667337,https://openalex.org/W2097783866,1
1637,0,2,2,61,0.3951202349021277,0.001498695070655,https://openalex.org/W2589005865,1
2559,0,2,2,34,0.38467046386267,0.0013168230180648,https://openalex.org/W2530825605,1
2892,0,6,2,50,0.4084415073248411,0.0013352813032279,https://openalex.org/W2899624635,1
3371,0,6,2,233,0.4491497122893547,0.0046854940871792,https://openalex.org/W2795326853,1
3963,0,0,1,21,0.3771156100078917,0.0003060666352404,https://openalex.org/W4237713701,1
4235,0,2,2,106,0.4321682490989823,0.0041112527340764,https://openalex.org/W2763257112,1
1619,0,0,1,71,0.4127094799185847,0.0019232358013564,https://openalex.org/W2395067452,1
3902,0,0,1,20,0.3684492444536716,0.0002455551042269,https://openalex.org/W2105822932,1
3907,0,0,1,20,0.3684492444536716,0.0002455551042269,https://openalex.org/W1943493776,1
3926,0,0,1,44,0.3869377370069025,0.0007469896928312,https://openalex.org/W2766090940,1
4429,0,0,1,20,0.3684492444536716,0.0002455551042269,https://openalex.org/W4252964430,1
5058,0,0,1,43,0.3869069200479181,0.0007462179339976,https://openalex.org/W2019678504,1
1747,0,5,0,59,0.4055094564375342,0.0027124516973552,https://openalex.org/W1502961053,1
1811,0,5,0,63,0.4063914412014104,0.0028589086936462,https://openalex.org/W2288320689,1
1903,0,5,0,39,0.4017867246813051,0.0018761255778786,https://openalex.org/W2602307322,1
2134,0,5,0,62,0.407790085463079,0.0026872413932055,https://openalex.org/W2790051313,1
2305,0,5,0,107,0.4174977043762169,0.0053493841257907,https://openalex.org/W2795360809,1
308,0,3,0,63,0.4247620257166792,0.0032693873664098,https://openalex.org/W2145808843,1
5384,0,3,0,18,0.3881124301447359,0.0011614780253599,https://openalex.org/W2056029010,1
2100,0,2,2,16,0.3512910035520761,0.0003230817074363,https://openalex.org/W2014815515,1
2540,0,2,2,99,0.4391216928610377,0.0022589589189357,https://openalex.org/W1990538052,1
4635,0,0,1,53,0.4045975920814242,0.001931656003938,https://openalex.org/W2018955470,1
4961,0,0,1,53,0.3985563449111215,0.0012361063009489,https://openalex.org/W2228781294,1
5303,0,0,1,53,0.4045975920814242,0.001931656003938,https://openalex.org/W2107691673,1
5415,0,0,1,53,0.4045975920814242,0.001931656003938,https://openalex.org/W2557511834,1
5447,0,0,1,53,0.4045975920814242,0.001931656003938,https://openalex.org/W1851706974,1
5623,0,6,2,164,0.4550822752338792,0.0055241828434703,https://openalex.org/W2909657600,1
5647,0,2,0,148,0.430865036640502,0.0067777306837874,https://openalex.org/W2942535891,1
119,0,6,2,122,0.4290764253772884,0.003114328338304,https://openalex.org/W2216975675,1
2613,0,6,2,141,0.4343708233299052,0.0033600708053275,https://openalex.org/W2042112967,1
2791,0,6,2,179,0.4492743261002183,0.0036888282427099,https://openalex.org/W2888945583,1
2944,0,6,2,199,0.4503154697925158,0.004814390160756,https://openalex.org/W1488088888,1
2947,0,6,2,159,0.4453615042282417,0.0040151602690396,https://openalex.org/W2328067248,1
2979,0,6,2,191,0.4434507793812561,0.0058035500091813,https://openalex.org/W2074153798,1
2986,0,6,2,249,0.4574391043429058,0.0052607717087382,https://openalex.org/W2432034292,1
3035,0,6,2,190,0.4467129460341756,0.0041152327709798,https://openalex.org/W2166891328,1
3040,0,6,2,120,0.4290006435995814,0.0031094347217384,https://openalex.org/W2070260478,1
3223,0,6,2,2,0.3142304843545705,1.2184233640533878e-05,https://openalex.org/W2289748648,1
3229,0,6,2,193,0.4516551959949479,0.0051428407498886,https://openalex.org/W1922391393,1
3294,0,6,2,154,0.4386458950899918,0.0033581091713124,https://openalex.org/W2172876793,1
3413,0,6,2,294,0.4622267638555338,0.0074970704115328,https://openalex.org/W2787632811,1
3425,0,6,2,146,0.4335954380686951,0.0038140660649871,https://openalex.org/W2135005094,1
3426,0,6,2,120,0.4290006435995814,0.0031094347217384,https://openalex.org/W2135452016,1
3481,0,6,2,120,0.4290006435995814,0.0031094347217384,https://openalex.org/W2800375960,1
3532,0,6,2,146,0.4335954380686951,0.0038140660649871,https://openalex.org/W2920753029,1
3534,0,6,2,246,0.4553382030294929,0.0061136618701549,https://openalex.org/W2744111953,1
3539,0,6,2,130,0.4298737534839094,0.0035755253360806,https://openalex.org/W2594712196,1
3562,0,6,2,135,0.4326300906689518,0.0032059719267348,https://openalex.org/W2113118605,1
3628,0,6,2,120,0.4290006435995814,0.0031094347217384,https://openalex.org/W2108092266,1
3718,0,6,2,319,0.4698716788975394,0.0089887516567102,https://openalex.org/W2753722050,1
3724,0,6,2,120,0.4290006435995814,0.0031094347217384,https://openalex.org/W2115015058,1
3905,0,6,2,132,0.4314007004814546,0.0031701482660961,https://openalex.org/W2002626040,1
4010,0,6,2,120,0.4290006435995814,0.0031094347217384,https://openalex.org/W2614015710,1
4402,0,6,2,176,0.4492327804810117,0.0041141837016131,https://openalex.org/W2787070071,1
4493,0,6,2,399,0.4729825029813709,0.0063991282065141,https://openalex.org/W2782346962,1
4588,0,6,2,122,0.4290764253772884,0.0031225731160815,https://openalex.org/W2133999193,1
4748,0,6,2,138,0.4321682490989823,0.0031316239371171,https://openalex.org/W2034561862,1
4766,0,6,2,440,0.4927980612823757,0.0116222777729082,https://openalex.org/W2497060941,1
5069,0,6,2,203,0.4429251721482184,0.0038916942136525,https://openalex.org/W2181786418,1
5291,0,6,2,170,0.440995214971102,0.0050139306269177,https://openalex.org/W2041814657,1
158,0,2,2,104,0.44552487968834,0.0035664865843786,https://openalex.org/W2122156969,1
1635,0,3,0,53,0.4240205366257886,0.0030581502652729,https://openalex.org/W2041686439,1
2637,0,5,0,14,0.3474469523760306,0.0001073756891065,https://openalex.org/W2086956698,1
5107,0,5,0,79,0.4072089931367695,0.00359470957701,https://openalex.org/W2211419708,1
55,0,2,2,104,0.44552487968834,0.0035664865843786,https://openalex.org/W1974470230,1
762,0,3,1,34,0.4106511655216956,0.0017587019338096,https://openalex.org/W2167573203,1
1854,0,5,0,99,0.4120793356621987,0.0030428871700395,https://openalex.org/W1519949070,1
1913,0,5,0,109,0.4228027230741218,0.0028223056499939,https://openalex.org/W2041736844,1
1921,0,5,0,77,0.4073455717023025,0.0024739278868075,https://openalex.org/W2106676828,1
2360,0,5,0,77,0.4073455717023025,0.0024739278868075,https://openalex.org/W1531037104,1
1192,0,4,0,37,0.3959575587351586,0.000411123996458,https://openalex.org/W2158390242,1
1467,0,4,0,29,0.3934243025689715,0.0003161957760404,https://openalex.org/W2135072911,1
1565,0,4,0,37,0.4150720512749197,0.0005751363318349,https://openalex.org/W2900842202,1
1621,0,4,0,42,0.3952166684121103,0.0007109424671381,https://openalex.org/W1975910192,1
1719,0,4,0,21,0.3654007738338969,0.0001736969192425,https://openalex.org/W2051055441,1
1731,0,4,0,21,0.3654007738338969,0.0001736969192425,https://openalex.org/W2121090700,1
1757,0,4,0,14,0.3822490587868172,0.0002491205294128,https://openalex.org/W2045398695,1
2200,0,4,0,8,0.3369635352792994,9.589058496639765e-05,https://openalex.org/W2155329458,1
2453,0,4,0,22,0.3738651137541681,0.0002083061579735,https://openalex.org/W2080172070,1
418,0,4,0,18,0.3911435819743687,0.0004111499488183,https://openalex.org/W2028594460,1
706,0,4,0,16,0.3838194902521656,0.0002545417799962,https://openalex.org/W2771755426,1
1765,0,4,0,27,0.3973176812073002,0.0006328085950419,https://openalex.org/W1567365373,1
2210,0,4,0,30,0.3615930992275147,0.0002755945414402,https://openalex.org/W2070704926,1
1197,0,0,1,43,0.3959252883554735,0.000920638589979,https://openalex.org/W1901189090,1
1889,0,0,1,49,0.4025191223897307,0.0010658034695245,https://openalex.org/W2606222708,1
4727,0,0,1,43,0.3959252883554735,0.000920638589979,https://openalex.org/W2746417783,1
4733,0,0,1,81,0.4073455717023025,0.0018598490211297,https://openalex.org/W2126592100,1
4804,0,0,1,70,0.4023524340004688,0.0010495600761467,https://openalex.org/W1966930919,1
1689,0,2,0,10,0.3557673590715239,0.0004562618501358,https://openalex.org/W2020826295,1
1203,0,6,3,16,0.338206856594379,3.4153830893696596e-05,https://openalex.org/W2038334916,1
130,0,6,3,12,0.3695423161510467,0.0001531534220779,https://openalex.org/W2154532774,1
171,0,6,3,16,0.338206856594379,3.4153830893696596e-05,https://openalex.org/W2122226557,1
1721,0,6,3,45,0.4108248023781531,0.0004521723617355,https://openalex.org/W2098776988,1
1798,0,6,3,22,0.3700771911420477,0.0001571730821463,https://openalex.org/W2120124310,1
1852,0,6,3,37,0.3882054729200623,0.0003320343914556,https://openalex.org/W1492814303,1
2126,0,6,3,41,0.390013109194096,0.0002552005294025,https://openalex.org/W2170233181,1
316,0,6,3,16,0.338206856594379,3.4153830893696596e-05,https://openalex.org/W2624592064,1
3515,0,6,1,90,0.393010540257395,0.0006972445018052,https://openalex.org/W2112683507,1
422,0,6,3,50,0.406663593514286,0.0005845925776443,https://openalex.org/W2169412364,1
5037,0,6,3,17,0.34014866882241,3.9764368843795425e-05,https://openalex.org/W2922049010,1
5597,0,6,3,17,0.3420165649198578,3.759306248860452e-05,https://openalex.org/W2612774501,1
5925,0,6,3,16,0.338206856594379,3.4153830893696596e-05,https://openalex.org/W2501776378,1
5966,0,2,2,97,0.4437343156852082,0.0020941318496636,https://openalex.org/W2571617625,1
1562,0,6,1,53,0.3968632700042203,0.000494380889903,https://openalex.org/W1540250989,1
211,0,6,3,23,0.3774085836017449,0.0001753120417012,https://openalex.org/W2052509076,1
260,0,6,1,9,0.3616200154921587,7.157292021172217e-05,https://openalex.org/W2154773800,1
3859,0,0,1,28,0.3681700104677272,0.0002855071904199,https://openalex.org/W1995703011,1
